NU,Archetype,Metric,IAL,DEFAULT,EEM1,EEM2,EEM3,EEM4
RC-D,Detached,EUI,154.1,131.7,103.8,90.9,78.7,58.6
RC-D,Detached,Htg,57.2,45.5,17.7,4.9,7.6,9.0
RC-D,Detached,Clg,22.7,5.9,6.6,5.9,5.9,4.7
RC-D,Detached,DHW,22.1,22.1,21.7,21.7,6.6,6.6
RC-D,Detached,Ltg,4.7,4.7,4.7,4.7,4.7,2.6
RC-D,Detached,Equip,47.4,46.6,46.6,46.6,46.6,28.3
RC-D,Detached,F+P,0.0,6.1,5.7,6.3,6.5,6.5
RC-D,Detached,PV,74.3,0.0,173.8,173.8,173.8,173.8
RC-T,Attached,EUI,158.8,135.3,111.5,105.3,90.5,65.0
RC-T,Attached,Htg,46.2,32.0,8.1,2.3,2.3,3.8
RC-T,Attached,Clg,21.7,5.9,7.1,6.3,6.3,4.5
RC-T,Attached,DHW,26.9,26.9,26.1,26.1,11.2,11.2
RC-T,Attached,Ltg,5.8,5.8,5.8,5.8,5.8,3.2
RC-T,Attached,Equip,58.2,57.1,57.1,57.1,57.1,34.8
RC-T,Attached,F+P,0.0,6.5,6.3,6.7,6.8,6.6
RC-T,Attached,PV,62.2,0.0,142.0,142.0,142.0,142.0
RC-ML,MidLow,EUI,156.4,133.5,107.6,97.9,84.5,61.7
RC-ML,MidLow,Htg,51.8,38.9,13.0,3.6,5.0,6.4
RC-ML,MidLow,Clg,22.2,5.9,6.8,6.1,6.1,4.6
RC-ML,MidLow,DHW,24.5,24.5,23.8,23.8,8.9,8.9
RC-ML,MidLow,Ltg,5.2,5.2,5.2,5.2,5.2,2.9
RC-ML,MidLow,Equip,52.7,51.7,51.7,51.7,51.7,31.5
RC-ML,MidLow,F+P,0.0,6.3,6.0,6.5,6.6,6.5
RC-ML,MidLow,PV,68.2,0.0,157.9,157.9,157.9,157.9
RC-R,Detached (row),EUI,154.6,131.4,103.6,91.1,78.9,58.7
RC-R,Detached (row),Htg,56.5,44.8,17.1,4.7,7.4,8.8
RC-R,Detached (row),Clg,23.8,6.1,6.9,6.2,6.2,5.0
RC-R,Detached (row),DHW,22.1,22.1,21.7,21.7,6.6,6.6
RC-R,Detached (row),Ltg,4.7,4.7,4.7,4.7,4.7,2.6
RC-R,Detached (row),Equip,47.5,46.6,46.6,46.6,46.6,28.3
RC-R,Detached (row),F+P,0.0,6.2,5.8,6.4,6.5,6.5
RC-R,Detached (row),PV,66.5,0.0,154.5,154.5,154.5,154.5
RC-HR1,HighRise,EUI,171.5,146.6,120.1,120.6,88.4,58.0
RC-HR1,HighRise,Htg,52.5,32.6,1.4,0.5,4.1,5.7
RC-HR1,HighRise,Clg,21.0,6.4,11.4,13.0,12.9,6.7
RC-HR1,HighRise,DHW,48.2,48.2,48.1,48.1,12.5,12.5
RC-HR1,HighRise,Ltg,5.1,5.1,5.1,5.1,5.1,2.0
RC-HR1,HighRise,Equip,44.7,41.6,41.6,41.6,41.6,20.6
RC-HR1,HighRise,F+P,0.0,9.6,9.4,9.1,9.1,7.4
RC-HR1,HighRise,PV,18.8,1.9,41.0,41.0,41.0,41.0
RC-HR2,HighRise,EUI,180.1,155.0,125.1,126.6,89.2,57.5
RC-HR2,HighRise,Htg,60.1,36.3,1.0,0.5,6.9,8.6
RC-HR2,HighRise,Clg,18.2,6.1,12.1,13.9,13.9,6.8
RC-HR2,HighRise,DHW,51.8,51.8,51.8,51.8,8.0,7.9
RC-HR2,HighRise,Ltg,4.6,4.6,4.6,4.6,4.6,1.8
RC-HR2,HighRise,Equip,45.4,41.7,41.7,41.7,41.7,20.5
RC-HR2,HighRise,F+P,0.0,10.7,10.0,10.1,10.2,8.0
RC-HR2,HighRise,PV,13.5,3.3,20.8,20.8,20.8,20.8
RC-MR1,MidRise,EUI,149.5,123.3,112.4,111.6,89.7,60.4
RC-MR1,MidRise,Htg,30.7,16.2,1.5,0.4,0.4,1.3
RC-MR1,MidRise,Clg,27.2,7.7,11.2,12.2,11.9,7.3
RC-MR1,MidRise,DHW,37.8,37.7,37.3,37.3,15.6,15.6
RC-MR1,MidRise,Ltg,3.9,5.7,5.7,5.7,5.7,2.6
RC-MR1,MidRise,Equip,49.9,46.3,46.3,46.3,46.3,25.0
RC-MR1,MidRise,F+P,0.0,7.7,8.5,7.8,7.8,6.8
RC-MR1,MidRise,PV,37.4,0.0,91.7,91.7,91.7,91.7
RC-MR2,MidRise,EUI,162.1,137.7,113.8,113.0,87.1,58.3
RC-MR2,MidRise,Htg,45.1,30.0,1.8,0.5,0.6,2.1
RC-MR2,MidRise,Clg,23.9,6.5,10.4,11.9,11.6,6.5
RC-MR2,MidRise,DHW,43.7,43.6,43.5,43.5,17.9,17.9
RC-MR2,MidRise,Ltg,5.6,5.6,5.6,5.6,5.6,2.3
RC-MR2,MidRise,Equip,43.8,41.5,41.5,41.5,41.5,20.7
RC-MR2,MidRise,F+P,0.0,8.2,8.6,7.7,7.7,6.6
RC-MR2,MidRise,PV,25.5,0.0,66.3,66.3,66.3,66.3
RC-MR3,MidRise,EUI,161.8,137.9,113.4,112.5,86.7,58.0
RC-MR3,MidRise,Htg,45.6,30.4,2.0,0.6,0.6,2.2
RC-MR3,MidRise,Clg,23.1,6.3,10.1,11.5,11.2,6.1
RC-MR3,MidRise,DHW,43.7,43.6,43.5,43.5,17.9,17.9
RC-MR3,MidRise,Ltg,5.6,5.6,5.6,5.6,5.6,2.3
RC-MR3,MidRise,Equip,43.8,41.5,41.5,41.5,41.5,20.7
RC-MR3,MidRise,F+P,0.0,8.1,8.5,7.6,7.6,6.5
RC-MR3,MidRise,PV,25.5,0.0,66.3,66.3,66.3,66.3
